Source,Target,Weight,Distance_km
26,59,0.3789,2.539
26,60,0.4036,2.377
26,62,0.2499,3.902
26,63,0.5875,1.602
26,64,0.2829,3.434
26,65,1.2878,0.677
26,67,0.2462,3.962
26,73,0.5139,1.846
26,74,0.3712,2.594
27,66,0.2517,3.873
28,29,0.2456,3.971
28,32,0.1973,4.968
28,37,0.2573,3.786
28,38,0.2833,3.43
28,39,0.245,3.981
28,40,0.5252,1.804
28,41,0.199,4.926
28,42,0.3347,2.887
28,48,0.2093,4.678
28,55,0.7636,1.21
28,57,0.2186,4.474
28,60,0.262,3.717
28,62,0.4084,2.348
28,63,0.2129,4.596
28,64,0.3079,3.148
28,70,0.2154,4.543
28,73,0.2293,4.261
28,74,0.2003,4.893
28,75,0.8765,1.041
29,38,0.23,4.248
29,39,0.2485,3.925
29,40,0.208,4.708
29,42,0.2661,3.658
29,47,0.2194,4.457
29,48,0.6601,1.415
29,49,0.2161,4.528
29,55,0.2115,4.627
29,56,0.2563,3.801
29,57,1.0051,0.895
29,62,0.2264,4.318
29,64,0.2161,4.528
29,71,0.2465,3.957
29,75,0.3217,3.008
30,33,0.3509,2.75
31,37,0.2121,4.615
31,72,0.2145,4.561
32,34,0.5211,1.819
32,38,0.6072,1.547
32,39,0.6676,1.398
32,40,0.2748,3.539
32,41,1.3291,0.652
32,42,0.4388,2.179
32,44,1.7281,0.479
32,45,0.6721,1.388
32,48,0.2172,4.504
32,49,0.4753,2.004
32,54,0.2023,4.844
32,56,0.274,3.55
32,60,0.45,2.122
32,62,0.3591,2.685
32,63,0.2878,3.375
32,64,0.508,1.868
32,65,0.3792,2.537
32,71,0.2104,4.653
32,73,0.3008,3.225
32,74,1.4238,0.602
34,38,0.2886,3.365
34,39,0.3167,3.058
34,41,0.48,1.983
34,42,0.245,3.981
34,43,0.2796,3.476
34,44,0.6649,1.404
34,45,0.7251,1.279
34,46,0.2137,4.58
34,49,0.3876,2.48
34,54,0.3132,3.093
34,56,0.2418,4.035
34,60,0.268,3.632
34,62,0.2182,4.483
34,63,0.2205,4.435
34,64,0.2657,3.664
34,65,0.3103,3.123
34,73,0.2218,4.409
34,74,0.4775,1.994
37,40,0.2225,4.394
37,55,0.3184,3.04
37,61,0.2189,4.469
37,70,0.3444,2.804
37,75,0.211,4.64
38,39,1.0298,0.871
38,40,0.4434,2.155
38,41,0.5699,1.655
38,42,1.2807,0.681
38,44,0.4806,1.981
38,45,0.3521,2.74
38,48,0.2563,3.801
38,49,0.3609,2.671
38,55,0.2112,4.635
38,56,0.2586,3.766
38,60,0.5908,1.593
38,62,0.7467,1.239
38,63,0.3067,3.161
38,64,1.5138,0.561
38,65,0.3196,3.028
38,71,0.2037,4.809
38,73,0.3353,2.882
38,74,0.5862,1.606
38,75,0.2729,3.564
39,40,0.3281,2.948
39,41,0.519,1.827
39,42,0.8278,1.108
39,44,0.5636,1.674
39,45,0.3474,2.779
39,48,0.3008,3.225
39,49,0.5139,1.846
39,56,0.3331,2.902
39,57,0.2033,4.82
39,60,0.4032,2.38
39,62,0.4697,2.029
39,63,0.2484,3.925
39,64,0.6529,1.432
39,65,0.274,3.55
39,71,0.2464,3.958
39,73,0.2651,3.672
39,74,0.5358,1.766
39,75,0.2495,3.907
40,41,0.2904,3.344
40,42,0.4958,1.917
40,44,0.2431,4.013
40,45,0.2241,4.362
40,48,0.1998,4.904
40,49,0.2044,4.793
40,52,0.2212,4.422
40,55,0.3387,2.852
40,60,0.4891,1.945
40,62,0.9789,0.922
40,63,0.3401,2.84
40,64,0.5605,1.684
40,65,0.2651,3.672
40,70,0.2476,3.939
40,73,0.3849,2.498
40,74,0.2922,3.323
40,75,0.3825,2.514
41,42,0.4107,2.335
41,44,0.92,0.987
41,45,0.8383,1.093
41,49,0.363,2.655
41,56,0.2326,4.199
41,59,0.1973,4.969
41,60,0.5651,1.67
41,62,0.3729,2.581
41,63,0.3488,2.767
41,64,0.5316,1.781
41,65,0.5031,1.888
41,73,0.3644,2.645
41,74,6.2145,0.061
42,44,0.3731,2.58
42,45,0.2843,3.418
42,48,0.288,3.373
42,49,0.3301,2.93
42,55,0.2383,4.096
42,56,0.2594,3.755
42,57,0.2163,4.522
42,60,0.4696,2.029
42,62,0.8751,1.043
42,63,0.2726,3.568
42,64,1.0246,0.876
42,65,0.2681,3.631
42,71,0.2072,4.726
42,73,0.2978,3.258
42,74,0.4192,2.285
42,75,0.3313,2.918
43,44,0.2036,4.811
43,45,0.2144,4.565
43,46,0.3904,2.461
43,54,1.5323,0.553
43,69,0.2676,3.637
44,45,0.7102,1.308
44,48,0.2131,4.593
44,49,0.5342,1.772
44,54,0.2232,4.38
44,56,0.2872,3.381
44,60,0.3735,2.577
44,62,0.3077,3.15
44,63,0.2595,3.753
44,64,0.4103,2.337
44,65,0.3472,2.78
44,71,0.2187,4.473
44,73,0.2682,3.628
44,74,0.9471,0.956
45,49,0.3199,3.026
45,54,0.2299,4.25
45,56,0.2105,4.652
45,59,0.2211,4.423
45,60,0.3805,2.528
45,62,0.2667,3.65
45,63,0.3064,3.164
45,64,0.3374,2.864
45,65,0.5125,1.851
45,73,0.307,3.157
45,74,0.8083,1.137
46,49,0.1997,4.908
46,54,0.4333,2.208
46,69,0.3952,2.43
47,48,0.2243,4.357
47,57,0.2451,3.981
47,68,0.2881,3.371
47,71,0.2089,4.686
48,49,0.2916,3.33
48,56,0.3997,2.402
48,57,0.4542,2.102
48,62,0.2285,4.276
